tn.macon,81.12,,in.white,114.52,,mn.carver,38.669727
la.east carroll,80.181816,,sd.kingsbury,113.833336,,mn.cottonwood,38.538464
ut.tooele,80.045456,,ut.tooele,113.818184,,in.steuben,38.199997
wi.washington,79.5461,,ia.buena vista,113.51428,,tn.cheatham,38.08333
ok.texas,79.09091,,ia.benton,113.24,,in.adams,37.514286
sd.kingsbury,78.833336,,ms.pontotoc,112.84,,mt.ravalli,37.13513
sd.meade,78.68,,in.harrison,112.56,,oh.morrow,37.09091
tn.trousdale,78.4,,wv.jefferson,112.12,,il.franklin,36.840004
ca.lassen,78.210526,,in.decatur,112.12,,mn.steele,36.697674
mi.newaygo,77.96,,al.blount,111.475,,ks.jackson,36.5
in.steuben,77.76,,mn.scott,111.45071,,wy.washakie,36.33333
in.harrison,77.68,,nc.chatham,111.04,,mn.redwood,36.320004
nc.alexander,77.6,,wi.crawford,110.32,,la.east carroll,36.181824
ga.cherokee,77.40506,,wi.washington,109.73759,,mn.sibley,36.149998
pr.utuado,77.28571,,mn.mille lacs,108.21429,,in.hancock,35.89706
id.latah,77.12,,id.jerome,108.08,,il.hancock,35.833336
in.ripley,77.08,,nd.rolette,107.6,,wi.shawano,35.600006
wi.waushara,76.8,,oh.ottawa,106.48,,nm.luna,35.479996
in.jennings,76.47059,,ks.jackson,106.25,,in.sullivan,35.039997
nd.stark,76.16,,tn.lauderdale,106.16,,pa.bedford,35.000004
ia.crawford,75.76,,in.randolph,105.84,,sd.kingsbury,35
wi.door,75.52,,nc.alexander,105,,il.macoupin,34.939995
tn.sevier,75.49367,,tn.rhea,104.4,,in.harrison,34.879997
id.gem,75.3125,,in.clay,104.08,,mi.barry,34.612244
ok.logan,74.72,,mn.roseau,103.8,,tx.brewster,34.32
nd.williams,74.44,,mi.chippewa,103.68293,,in.scott,34.08
al.randolph,74.4,,il.livingston,103.28571,,wi.calumet,34.04001
id.minidoka,74.32,,nc.yadkin,103.045456,,mn.chisago,34.032787
fl.hardee,73.52,,tx.starr,102.770836,,il.piatt,34
ia.benton,73.36,,tn.hardeman,102.68,,ut.tooele,33.772728
nd.mercer,73.23077,,in.whitley,102.3,,oh.clermont,33.770267
ok.mcclain,73.23077,,il.lawrence,102.2,,mi.kalkaska,33.75
sd.turner,73,,sd.meade,102.2,,mn.morrison,33.73469
la.st. martin,72.209305,,oh.hardin,101.88,,sd.beadle,33.59999
mi.allegan,71.42647,,ga.effingham,101.64,,in.kosciusko,33.522728
tx.orange,71.225,,in.lagrange,100.16,,il.clay,33.222218
wa.franklin,71.09434,,oh.jackson,99.958336,,oh.jackson,33.208336
ga.barrow,70.98214,,in.adams,99.71429,,co.montezuma,33.12
sc.williamsburg,70.84,,pr.utuado,99.42857,,wy.goshen,33.04
in.putnam,70.52,,al.chilton,99.30769,,mi.gladwin,33
in.lagrange,70.16,,wi.waushara,99.28,,nm.colfax,32.92
nc.anson,70.066666,,ia.muscatine,98.875,,in.huntington,32.583336
in.white,70.04,,in.kosciusko,98.27273,,tn.scott,32.559998
id.madison,69.927536,,ok.mcclain,98.25641,,mi.delta,32.320007
wv.mineral,69.92,,in.putnam,98.04,,tx.reagan,32.14286
ks.jackson,69.75,,wi.door,98,,in.boone,32.038464
tx.moore,69.52,,tn.marshall,97.48,,ut.iron,31.895832
tx.scurry,69.4,,il.hancock,97.333336,,nm.cibola,31.879997
wi.langlade,69.36,,oh.morrow,97.318184,,mt.carbon,31.3
mi.benzie,69.25,,va.prince william,97.06173,,mi.ottawa,31.282955
mn.nobles,69.145836,,ok.logan,96.84,,ia.muscatine,31.208336
mn.scott,69.04929,,id.latah,96.16,,ny.herkimer,31.2
ms.yazoo,69.04,,tn.macon,95.68,,il.tazewell,31.133331
in.decatur,69.04,,in.boone,95.51923,,wi.trempealeau,31.023254
wv.jefferson,68.96,,in.scott,95.4,,tn.fayette,31
ut.summit,68.64865,,mt.carbon,95.1,,ne.saunders,31
tx.medina,67.8,,wi.trempealeau,94.790695,,ia.hamilton,30.96
ia.muscatine,67.666664,,nd.mercer,93.53846,,oh.adams,30.800003
oh.ottawa,67.16,,mn.chisago,93.52459,,nd.walsh,30.749996
ca.imperial,66.839554,,ne.gage,93.36,,il.edgar,30.679996
oh.jackson,66.75,,co.archuleta,93.09091,,mi.baraga,30.333332
nd.rolette,66.64,,ia.washington,93.08,,mi.oceana,30.208336
mo.perry,66.44,,mo.perry,92.32,,wi.washington,30.19149
ok.canadian,66.35773,,ca.sutter,92.315216,,in.lagrange,30
fl.nassau,66.333336,,ne.platte,92.17647,,mn.carlton,29.672127
ne.platte,65.64706,,tn.sevier,92.025314,,ia.washington,29.440002
in.randolph,65.6,,il.clay,91.888885,,ia.plymouth,29.439995
va.shenandoah,65.56,,co.teller,91.53333,,nd.barnes,29.400002
mn.mille lacs,65.14286,,ga.cherokee,91.23418,,ia.jones,29.383335
in.kosciusko,64.75,,in.hancock,91.22059,,mn.wabasha,29.280003
