County,current,Predicted,change
tn.jefferson,47.53448,56.724136,-9.189655
tn.unicoi,53.4,76.4,-23
ok.kay,11.825397,17.15873,-5.333333
ok.pottawatomie,31.607693,39.553844,-7.9461517
ok.noble,26.653847,49.615383,-22.961536
ok.grady,41.97333,51.226665,-9.253334
ok.mayes,38.875,48.6875,-9.8125
ok.greer,16.944445,24.11111,-7.166666
ok.mccurtain,97.36,116.84,-19.479996
ok.ellis,10.16,24.2,-14.040001
ok.pushmataha,19.608696,23.304348,-3.695652
ok.washington,16.714285,21.642857,-4.9285717
ok.craig,20.09091,21.6,-1.5090904
va.buchanan,11.387755,13.755102,-2.3673468
ks.morton,1.5083333,2.475,-0.9666666
va.danville,0,0,0
sc.edgefield,51.44,54.92,-3.4799995
ga.whitfield,32.30142,40.287235,-7.985817
ga.chattahoochee,37.175438,38.42105,-1.2456131
ga.crisp,14.164384,15.232877,-1.0684929
fl.madison,27.56,30.86,-3.3000011
al.chambers,17.191305,20.32174,-3.130434
al.st. clair,126.45,149.675,-23.225006
wv.randolph,10.65,13.725,-3.0750008
ia.hamilton,50.96,81.92,-30.96
ks.washington,7.04,14.02,-6.9800005
ks.rice,22.92,40.68,-17.76
ks.mcpherson,20.448277,37.068966,-16.62069
mt.madison,22.5,34.1,-11.599998
mo.barton,27.16,31.8,-4.6399994
mo.dunklin,15.75,18.775862,-3.0258617
sc.abbeville,42.64,45.16,-2.5200005
sc.aiken,29.269388,31.057142,-1.787754
sc.pickens,46.17073,54.22561,-8.054878
sc.york,34.39521,42.18862,-7.7934113
sc.chester,21.512196,24.768293,-3.2560978
sc.oconee,23.218935,24.662722,-1.4437866
ks.nemaha,24.408163,39.632652,-15.224489
ks.neosho,34.56,54.68,-20.119999
wa.walla walla,8.332278,11.82595,-3.4936714
ks.lyon,50.288136,79.27119,-28.983051
ks.harvey,14.858156,24.361702,-9.503546
ks.norton,45.08,63.72,-18.64
ks.miami,6.6804123,9.113402,-2.43299
wa.grant,30.715054,38.41398,-7.698925
wa.spokane,10.838916,14.949495,-4.1105795
wa.columbia,2.32,4.72,-2.3999999
wa.clallam,3.5153375,5.797546,-2.2822084
wa.garfield,1.3333334,2.0444446,-0.7111112
wa.skagit,11.707317,16.839024,-5.131706
wa.kittitas,52.28,63,-10.720001
wa.klickitat,7.5,9.547619,-2.0476189
wa.mason,44.8,63.4,-18.600002
wa.okanogan,16.131868,17.67033,-1.5384617
wa.island,10.065789,13.842105,-3.7763157
wa.pend oreille,4.1216216,5.1216216,-1
wa.pacific,5.5686274,8.764706,-3.1960783
wa.whatcom,11.114625,15.035573,-3.920948
wa.stevens,9.4777775,16.1,-6.622223
wa.whitman,50.22,54.88,-4.66
ne.boone,14.92,20.2,-5.2800007
ne.box butte,28.36,42.84,-14.48
ne.nuckolls,10.52,14.88,-4.3599997
ne.custer,15.914286,22.257143,-6.3428574
ne.dawes,19.88,26.92,-7.040001
ne.buffalo,12.28882,16.82298,-4.5341606
ne.colfax,54.88,68.8,-13.920002
ne.richardson,17.916666,30.041666,-12.125
ne.dawson,38.37931,50.844826,-12.465515
ne.dundy,5.857143,8.928572,-3.0714288
ne.fillmore,18.8,30.55,-11.75
ne.franklin,13.071428,17.142857,-4.0714283
ne.nance,17.263159,27,-9.736841
ne.sheridan,12.72,17.4,-4.6799994
ne.lincoln,22.62931,34.00862,-11.379311
ne.howard,16.12,24.48,-8.359999
ne.merrick,26.6,45.1,-18.499998
ne.adams,12.621118,17.857143,-5.236026
ne.washington,56.56,84.8,-28.240002
ne.seward,40.125,59.416668,-19.291668
ne.hamilton,45.07143,67.85714,-22.78571
ne.dodge,40.123455,52.88889,-12.765434
ne.morrill,19.1,32.5,-13.4
ne.nemaha,25.8125,35,-9.1875
ne.boyd,7.35,9.7,-2.35
ne.burt,27.222221,45.61111,-18.38889
ne.keith,26.11111,48.22222,-22.11111
ne.pawnee,12.636364,22.818182,-10.181818
ne.perkins,9.35,16.6,-7.25
ne.phelps,25.4,33.24,-7.840002
ne.garden,8.6,12.9,-4.299999
ne.scotts bluff,22.680723,39.5,-16.819277
ne.rock,3.7083333,4.0833335,-0.37500024
ne.saunders,95,126,-31
ne.cheyenne,5.513274,10.238938,-4.725664
ne.cuming,26.48,36.04,-9.560001
ne.thayer,15.684211,29,-13.315789
ne.furnas,16.4,24.05,-7.6499996
ne.valley,13.875,19.6875,-5.8125
ne.webster,20.076923,27.307692,-7.230768
ks.cherokee,25.444445,31.12963,-5.6851845
